iter	Passed	Remaining
353	2955	5393
354	2963	5383
355	2971	5374
356	2979	5365
357	2987	5356
358	2995	5347
359	3003	5338
360	3011	5330
361	3019	5320
362	3027	5312
363	3035	5303
364	3043	5294
365	3051	5286
366	3059	5277
367	3067	5268
368	3076	5260
369	3084	5252
370	3093	5244
371	3101	5235
372	3109	5226
373	3117	5217
374	3125	5208
375	3133	5200
376	3141	5191
377	3149	5183
378	3158	5175
379	3166	5166
380	3175	5158
381	3183	5150
382	3192	5142
383	3200	5134
384	3208	5125
385	3217	5117
386	3225	5109
387	3233	5100
388	3241	5091
389	3249	5083
390	3257	5074
391	3266	5065
392	3274	5057
393	3282	5048
394	3290	5040
395	3298	5031
396	3306	5022
397	3315	5014
398	3323	5005
399	3331	4997
400	3339	4988
401	3347	4980
402	3355	4971
403	3363	4962
404	3373	4956
405	3382	4948
406	3390	4939
407	3398	4931
408	3406	4922
409	3414	4913
410	3422	4904
411	3430	4895
412	3438	4887
